seed,scenario,layout_id,split,method,fixture_type,visible_hint,estimated_fixture,action,confidence,fixture_correct,parameter_error,success,first_attempt_success,repeated_failure,force_violation,damage,path_efficiency,energy,predicted_success,calibration_brier,stress_level,prob_free,prob_clamp,prob_hinge,prob_slot,prob_suction,prob_tether
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_full,suction,unknown,suction,peel_then_translate,0.77117,1,0.11000,0,0,1,0,1,0.06900,2.15055,0.76643,0.58742,0.00,0.00468,0.11868,0.03096,0.02655,0.77117,0.04796
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_no_torque_features,suction,unknown,suction,peel_then_translate,0.72625,1,0.17000,1,1,0,0,0,0.68300,1.93565,0.72566,0.07526,0.00,0.01636,0.12049,0.02952,0.04521,0.72625,0.06217
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_no_compliance_anisotropy,suction,unknown,suction,peel_then_translate,0.77058,1,0.17000,1,1,0,0,0,0.68300,1.93565,0.73542,0.07000,0.00,0.00416,0.12548,0.03462,0.01131,0.77058,0.05384
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_no_release_cues,suction,unknown,clamp,release_clamp_pull,0.45511,0,0.74000,0,0,1,0,1,0.12600,2.13060,0.01695,0.00029,0.00,0.01288,0.45511,0.12952,0.12835,0.04573,0.22840
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_no_hysteresis_memory,suction,unknown,suction,peel_then_translate,0.78388,1,0.17000,1,1,0,0,0,0.68300,1.93565,0.73834,0.06846,0.00,0.00933,0.06876,0.06249,0.04982,0.78388,0.02571
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_no_particle_refinement,suction,unknown,suction,peel_then_translate,0.90307,1,0.11000,0,0,1,0,0,0.06900,2.15055,0.78208,0.61165,0.00,0.00089,0.04968,0.01133,0.01341,0.90307,0.02161
0,7000,combined_fixture_stress_0_7000_suction,combined_fixture_stress,latent_fixture_no_safety_margin,suction,unknown,suction,peel_then_translate,0.77117,1,0.11000,1,1,0,1,0,0.68900,2.63355,0.75239,0.06131,0.00,0.00468,0.11868,0.03096,0.02655,0.77117,0.04796
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_full,tether,suction,tether,unwind_tether,0.38091,1,0.11000,1,1,0,0,0,0.68900,1.95772,0.66042,0.11532,0.00,0.01919,0.30693,0.04729,0.11183,0.13385,0.38091
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_no_torque_features,tether,suction,clamp,release_clamp_pull,0.34461,0,0.74000,0,0,1,1,1,0.12600,2.85477,0.01633,0.00027,0.00,0.03384,0.34461,0.04447,0.10510,0.14230,0.32968
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_no_compliance_anisotropy,tether,suction,tether,unwind_tether,0.40399,1,0.17000,0,0,1,0,1,0.06300,2.17682,0.63809,0.40715,0.00,0.01693,0.33889,0.05352,0.04071,0.14596,0.40399
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_no_release_cues,tether,suction,tether,unwind_tether,0.40729,1,0.17000,1,1,0,0,0,0.68300,1.95982,0.63879,0.13047,0.00,0.01997,0.33310,0.05041,0.11826,0.07096,0.40729
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_no_hysteresis_memory,tether,suction,clamp,release_clamp_pull,0.30609,0,0.74000,0,0,1,0,0,0.12600,2.15477,0.01611,0.00026,0.00,0.04217,0.30609,0.09987,0.27520,0.21736,0.05932
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_no_particle_refinement,tether,suction,clamp,release_clamp_pull,0.40023,0,0.68000,0,0,1,0,0,0.13200,2.15267,0.01664,0.00028,0.00,0.00824,0.40023,0.04181,0.07910,0.11242,0.35820
0,7001,combined_fixture_stress_0_7001_tether,combined_fixture_stress,latent_fixture_no_safety_margin,tether,suction,tether,direct_translate,0.38091,1,0.11000,0,0,1,1,0,0.18900,2.83272,0.16856,0.02841,0.00,0.01919,0.30693,0.04729,0.11183,0.13385,0.38091
0,7002,combined_fixture_stress_0_7002_free,combined_fixture_stress,latent_fixture_full,free,free,free,direct_translate,0.30394,1,0.11000,1,1,0,0,0,0.80900,1.73729,0.76396,0.05571,0.00,0.30394,0.13883,0.11477,0.21360,0.11011,0.11875
0,7002,combined_fixture_stress_0_7002_free,combined_fixture_stress,latent_fixture_no_torque_features,free,free,slot,follow_slot_axis,0.24480,0,0.74000,0,0,1,1,0,0.12600,2.67634,0.01577,0.00025,0.00,0.21901,0.17646,0.06878,0.24480,0.14659,0.14436
0,7002,combined_fixture_stress_0_7002_free,combined_fixture_stress,latent_fixture_no_compliance_anisotropy,free,free,free,direct_translate,0.25910,1,0.17000,1,1,0,0,0,0.80300,1.73939,0.72589,0.07513,0.00,0.25910,0.18203,0.17046,0.07308,0.14503,0.17030
0,7002,combined_fixture_stress_0_7002_free,combined_fixture_stress,latent_fixture_no_release_cues,free,free,free,direct_translate,0.31878,1,0.17000,1,1,0,0,0,0.80300,1.73939,0.74120,0.06698,0.00,0.31878,0.15312,0.12416,0.23392,0.04210,0.12793
0,7002,combined_fixture_stress_0_7002_free,combined_fixture_stress,latent_fixture_no_hysteresis_memory,free,free,free,direct_translate,0.33118,1,0.17000,1,1,0,0,0,0.80300,1.73939,0.74438,0.06534,0.00,0.33118,0.10931,0.12998,0.24493,0.12530,0.05930
0,7002,combined_fixture_stress_0_7002_free,combined_fixture_stress,latent_fixture_no_particle_refinement,free,free,slot,follow_slot_axis,0.25601,0,0.68000,0,0,1,0,0,0.13200,1.97424,0.01583,0.00025,0.00,0.18694,0.18888,0.12143,0.25601,0.12837,0.11837
