method,split,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
adaptive_probe_then_act,aggregate_hard_regime,0,56,0.87500,1.00000,0.20308,0.00000,0.03571,0.12500,0.68576,1.79031,0.13264,0.12500
adaptive_probe_then_act,aggregate_hard_regime,1,56,0.83929,1.00000,0.20207,0.00000,0.01786,0.16071,0.67229,1.78099,0.13863,0.16071
adaptive_probe_then_act,aggregate_hard_regime,2,56,0.85714,1.00000,0.20319,0.00000,0.03571,0.14286,0.68325,1.78553,0.12899,0.14286
adaptive_probe_then_act,aggregate_hard_regime,3,56,0.91071,0.98214,0.21196,0.00000,0.00000,0.08929,0.70702,1.78265,0.10510,0.08929
adaptive_probe_then_act,aggregate_hard_regime,4,56,0.87500,1.00000,0.20243,0.00000,0.00000,0.12500,0.69440,1.76782,0.11316,0.12500
adaptive_probe_then_act,aggregate_hard_regime,5,56,0.82143,0.94643,0.22901,0.03571,0.03571,0.17857,0.65853,1.80510,0.12463,0.17857
adaptive_probe_then_act,aggregate_hard_regime,6,56,0.82143,0.98214,0.21064,0.01786,0.05357,0.17857,0.65179,1.81183,0.13596,0.17857
adaptive_probe_then_act,aggregate_hard_regime,7,56,0.87500,0.98214,0.20998,0.03571,0.05357,0.12500,0.68936,1.81751,0.10590,0.12500
bayesian_fixture_belief,aggregate_hard_regime,0,56,0.73214,0.94643,0.30311,0.07143,0.07143,0.26786,0.58290,1.87631,0.18919,0.26786
bayesian_fixture_belief,aggregate_hard_regime,1,56,0.69643,0.92857,0.31293,0.07143,0.03571,0.30357,0.56406,1.86887,0.20828,0.30357
bayesian_fixture_belief,aggregate_hard_regime,2,56,0.78571,0.94643,0.30358,0.16071,0.08929,0.21429,0.62250,1.91929,0.16947,0.21429
bayesian_fixture_belief,aggregate_hard_regime,3,56,0.89286,0.96429,0.29376,0.05357,0.03571,0.10714,0.68562,1.82764,0.15340,0.10714
bayesian_fixture_belief,aggregate_hard_regime,4,56,0.78571,0.98214,0.28488,0.03571,0.08929,0.21429,0.62866,1.81584,0.17347,0.21429
bayesian_fixture_belief,aggregate_hard_regime,5,56,0.69643,0.94643,0.30311,0.03571,0.08929,0.30357,0.56719,1.83707,0.18733,0.30357
bayesian_fixture_belief,aggregate_hard_regime,6,56,0.75000,0.92857,0.31246,0.14286,0.08929,0.25000,0.59090,1.92064,0.18468,0.25000
bayesian_fixture_belief,aggregate_hard_regime,7,56,0.78571,0.96429,0.29423,0.10714,0.05357,0.21429,0.62558,1.88983,0.17359,0.21429
calibrated_prototype_system_id,aggregate_hard_regime,0,56,0.80357,1.00000,0.20000,0.05357,0.05357,0.19643,0.64393,1.84245,0.18011,0.19643
calibrated_prototype_system_id,aggregate_hard_regime,1,56,0.82143,1.00000,0.20000,0.08929,0.07143,0.17857,0.66143,1.84730,0.16741,0.17857
calibrated_prototype_system_id,aggregate_hard_regime,2,56,0.83929,1.00000,0.20000,0.03571,0.01786,0.16071,0.67250,1.81429,0.14088,0.16071
calibrated_prototype_system_id,aggregate_hard_regime,3,56,0.85714,0.98214,0.20964,0.05357,0.01786,0.14286,0.67404,1.83170,0.12774,0.14286
calibrated_prototype_system_id,aggregate_hard_regime,4,56,0.80357,1.00000,0.20000,0.01786,0.00000,0.19643,0.65036,1.79574,0.15842,0.19643
calibrated_prototype_system_id,aggregate_hard_regime,5,56,0.87500,0.96429,0.21929,0.14286,0.07143,0.12500,0.69486,1.86739,0.10739,0.12500
calibrated_prototype_system_id,aggregate_hard_regime,6,56,0.73214,0.98214,0.20964,0.08929,0.05357,0.26786,0.59654,1.88117,0.19269,0.26786
calibrated_prototype_system_id,aggregate_hard_regime,7,56,0.83929,1.00000,0.20000,0.07143,0.08929,0.16071,0.67250,1.84841,0.14742,0.16071
ensemble_uncertainty_planner,aggregate_hard_regime,0,56,0.67857,1.00000,0.32628,0.05357,0.05357,0.32143,0.54951,1.87550,0.20313,0.32143
ensemble_uncertainty_planner,aggregate_hard_regime,1,56,0.64286,1.00000,0.32568,0.01786,0.05357,0.35714,0.53386,1.84194,0.21368,0.35714
ensemble_uncertainty_planner,aggregate_hard_regime,2,56,0.69643,1.00000,0.32689,0.01786,0.03571,0.30357,0.57124,1.83724,0.21134,0.30357
ensemble_uncertainty_planner,aggregate_hard_regime,3,56,0.64286,0.98214,0.33740,0.12500,0.08929,0.35714,0.52422,1.93413,0.21571,0.35714
ensemble_uncertainty_planner,aggregate_hard_regime,4,56,0.66071,1.00000,0.32658,0.01786,0.00000,0.33929,0.54699,1.83192,0.23043,0.33929
ensemble_uncertainty_planner,aggregate_hard_regime,5,56,0.73214,0.96429,0.34627,0.10714,0.05357,0.26786,0.58523,1.88076,0.18864,0.26786
ensemble_uncertainty_planner,aggregate_hard_regime,6,56,0.76786,1.00000,0.32665,0.05357,0.03571,0.23214,0.60698,1.85252,0.15981,0.23214
ensemble_uncertainty_planner,aggregate_hard_regime,7,56,0.82143,0.98214,0.33184,0.01786,0.05357,0.17857,0.64407,1.82086,0.17053,0.17857
force_threshold_heuristic,aggregate_hard_regime,0,56,0.32143,0.42857,0.66429,0.37500,0.35714,0.67857,0.29536,2.18945,0.09376,0.67857
force_threshold_heuristic,aggregate_hard_regime,1,56,0.25000,0.35714,0.70357,0.51786,0.32143,0.75000,0.24964,2.29142,0.10194,0.75000
force_threshold_heuristic,aggregate_hard_regime,2,56,0.30357,0.39286,0.68393,0.44643,0.32143,0.69643,0.28679,2.23679,0.12217,0.69643
force_threshold_heuristic,aggregate_hard_regime,3,56,0.44643,0.53571,0.60536,0.42857,0.26786,0.55357,0.37661,2.19830,0.09808,0.55357
force_threshold_heuristic,aggregate_hard_regime,4,56,0.23214,0.33929,0.71339,0.46429,0.35714,0.76786,0.23973,2.25196,0.07339,0.76786
force_threshold_heuristic,aggregate_hard_regime,5,56,0.25000,0.39286,0.68393,0.48214,0.30357,0.75000,0.25143,2.26009,0.08849,0.75000
force_threshold_heuristic,aggregate_hard_regime,6,56,0.35714,0.39286,0.68393,0.46429,0.39286,0.64286,0.31339,2.24277,0.07087,0.64286
force_threshold_heuristic,aggregate_hard_regime,7,56,0.26786,0.32143,0.72321,0.50000,0.32143,0.73214,0.25429,2.29478,0.06120,0.73214
latent_fixture_inference,aggregate_hard_regime,0,56,0.69643,0.76786,0.24232,0.08929,0.08929,0.30357,0.56041,1.89668,0.08307,0.30357
latent_fixture_inference,aggregate_hard_regime,1,56,0.67857,0.71429,0.27286,0.21429,0.10714,0.32143,0.55057,1.97360,0.05826,0.32143
latent_fixture_inference,aggregate_hard_regime,2,56,0.75000,0.75000,0.25250,0.19643,0.14286,0.25000,0.59904,1.95251,0.07146,0.25000
latent_fixture_inference,aggregate_hard_regime,3,56,0.78571,0.78571,0.23214,0.12500,0.10714,0.21429,0.61893,1.90098,0.04907,0.21429
latent_fixture_inference,aggregate_hard_regime,4,56,0.73214,0.73214,0.26268,0.12500,0.08929,0.26786,0.58480,1.89368,0.09626,0.26786
latent_fixture_inference,aggregate_hard_regime,5,56,0.73214,0.75000,0.25250,0.23214,0.08929,0.26786,0.58796,1.96730,0.08107,0.26786
latent_fixture_inference,aggregate_hard_regime,6,56,0.71429,0.76786,0.24232,0.17857,0.12500,0.28571,0.57148,1.95244,0.07590,0.28571
latent_fixture_inference,aggregate_hard_regime,7,56,0.75000,0.75000,0.25250,0.12500,0.16071,0.25000,0.59904,1.91162,0.04580,0.25000
latent_fixture_inference_v5,aggregate_hard_regime,0,56,0.66071,0.85714,0.24435,0.12500,0.14286,0.33929,0.51449,1.93776,0.12723,0.33929
latent_fixture_inference_v5,aggregate_hard_regime,1,56,0.66071,0.83929,0.25286,0.23214,0.14286,0.33929,0.51364,1.99902,0.20264,0.33929
latent_fixture_inference_v5,aggregate_hard_regime,2,56,0.67857,0.83929,0.25397,0.12500,0.14286,0.32143,0.52889,1.92706,0.19696,0.32143
latent_fixture_inference_v5,aggregate_hard_regime,3,56,0.66071,0.85714,0.24467,0.21429,0.19643,0.33929,0.50803,2.00230,0.16497,0.33929
latent_fixture_inference_v5,aggregate_hard_regime,4,56,0.64286,0.91071,0.21966,0.10714,0.10714,0.35714,0.51446,1.90580,0.14843,0.35714
latent_fixture_inference_v5,aggregate_hard_regime,5,56,0.73214,0.87500,0.23675,0.35714,0.17857,0.26786,0.55311,2.06700,0.16021,0.26786
latent_fixture_inference_v5,aggregate_hard_regime,6,56,0.71429,0.89286,0.22711,0.16071,0.10714,0.28571,0.55586,1.94541,0.15016,0.28571
latent_fixture_inference_v5,aggregate_hard_regime,7,56,0.71429,0.91071,0.21893,0.17857,0.14286,0.28571,0.54811,1.96695,0.12210,0.28571
oracle_fixture,aggregate_hard_regime,0,56,0.94643,1.00000,0.00000,0.00000,0.01786,0.05357,0.75250,1.76695,0.05141,0.05357
oracle_fixture,aggregate_hard_regime,1,56,0.94643,1.00000,0.00000,0.00000,0.01786,0.05357,0.75893,1.75067,0.05151,0.05357
oracle_fixture,aggregate_hard_regime,2,56,0.96429,1.00000,0.00000,0.00000,0.01786,0.03571,0.77000,1.75517,0.03825,0.03571
oracle_fixture,aggregate_hard_regime,3,56,0.89286,1.00000,0.00000,0.00000,0.01786,0.10714,0.71929,1.77836,0.08885,0.10714
oracle_fixture,aggregate_hard_regime,4,56,0.89286,1.00000,0.00000,0.00000,0.03571,0.10714,0.72571,1.75686,0.09079,0.10714
oracle_fixture,aggregate_hard_regime,5,56,0.82143,1.00000,0.00000,0.00000,0.01786,0.17857,0.68143,1.77209,0.15710,0.17857
oracle_fixture,aggregate_hard_regime,6,56,0.89286,1.00000,0.00000,0.00000,0.01786,0.10714,0.71929,1.77571,0.09294,0.10714
oracle_fixture,aggregate_hard_regime,7,56,0.92857,1.00000,0.00000,0.00000,0.07143,0.07143,0.74786,1.77203,0.06174,0.07143
particle_filter_fixture,aggregate_hard_regime,0,56,0.75000,0.94643,0.30679,0.12500,0.07143,0.25000,0.59361,1.91007,0.17140,0.25000
particle_filter_fixture,aggregate_hard_regime,1,56,0.76786,0.94643,0.30679,0.07143,0.05357,0.23214,0.61111,1.85241,0.15893,0.23214
particle_filter_fixture,aggregate_hard_regime,2,56,0.85714,1.00000,0.28000,0.07143,0.07143,0.14286,0.67557,1.83822,0.16950,0.14286
particle_filter_fixture,aggregate_hard_regime,3,56,0.66071,0.96429,0.29786,0.10714,0.12500,0.33929,0.54129,1.91566,0.20583,0.33929
particle_filter_fixture,aggregate_hard_regime,4,56,0.71429,0.96429,0.29786,0.08929,0.16071,0.28571,0.58093,1.87004,0.19060,0.28571
particle_filter_fixture,aggregate_hard_regime,5,56,0.80357,0.94643,0.30679,0.07143,0.07143,0.19643,0.63325,1.83895,0.15191,0.19643
particle_filter_fixture,aggregate_hard_regime,6,56,0.76786,0.96429,0.29786,0.08929,0.10714,0.23214,0.60771,1.87726,0.17646,0.23214
particle_filter_fixture,aggregate_hard_regime,7,56,0.80357,0.98214,0.28893,0.01786,0.05357,0.19643,0.63932,1.82252,0.17250,0.19643
prototype_system_id,aggregate_hard_regime,0,56,0.73214,1.00000,0.25000,0.07143,0.03571,0.26786,0.59464,1.87220,0.20639,0.26786
prototype_system_id,aggregate_hard_regime,1,56,0.78571,1.00000,0.25000,0.05357,0.08929,0.21429,0.63429,1.83180,0.17052,0.21429
prototype_system_id,aggregate_hard_regime,2,56,0.80357,1.00000,0.25000,0.05357,0.07143,0.19643,0.64536,1.83629,0.15347,0.19643
prototype_system_id,aggregate_hard_regime,3,56,0.80357,0.98214,0.26018,0.12500,0.07143,0.19643,0.63580,1.89508,0.16289,0.19643
prototype_system_id,aggregate_hard_regime,4,56,0.80357,1.00000,0.25000,0.01786,0.07143,0.19643,0.64536,1.79749,0.16959,0.19643
prototype_system_id,aggregate_hard_regime,5,56,0.76786,0.96429,0.27036,0.05357,0.01786,0.23214,0.62332,1.82993,0.17176,0.23214
prototype_system_id,aggregate_hard_regime,6,56,0.76786,0.98214,0.26018,0.07143,0.08929,0.23214,0.61366,1.86268,0.17226,0.23214
prototype_system_id,aggregate_hard_regime,7,56,0.80357,1.00000,0.25000,0.03571,0.05357,0.19643,0.64536,1.83291,0.16615,0.19643
random_forest_probe_classifier,aggregate_hard_regime,0,56,0.85714,0.98214,0.25734,0.07143,0.12500,0.14286,0.66927,1.84609,0.12374,0.14286
random_forest_probe_classifier,aggregate_hard_regime,1,56,0.83929,0.98214,0.25622,0.03571,0.05357,0.16071,0.66474,1.80864,0.13887,0.16071
random_forest_probe_classifier,aggregate_hard_regime,2,56,0.85714,1.00000,0.24697,0.01786,0.05357,0.14286,0.67887,1.79956,0.13567,0.14286
random_forest_probe_classifier,aggregate_hard_regime,3,56,0.83929,0.98214,0.25707,0.08929,0.05357,0.16071,0.65822,1.86223,0.13737,0.16071
random_forest_probe_classifier,aggregate_hard_regime,4,56,0.82143,1.00000,0.24776,0.05357,0.05357,0.17857,0.65665,1.81854,0.14600,0.17857
random_forest_probe_classifier,aggregate_hard_regime,5,56,0.75000,0.92857,0.28695,0.07143,0.05357,0.25000,0.60631,1.84838,0.14357,0.25000
