method,risk_budget,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_fixture_correct,ci95_fixture_correct,mean_parameter_error,ci95_parameter_error,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency,mean_energy,ci95_energy,mean_calibration_brier,ci95_calibration_brier
adaptive_probe_then_act,0.08,8,0.70312,0.07936,0.29688,0.07936,0.95312,0.04483,0.23617,0.02249,0.09375,0.06125,0.07812,0.04483,0.26562,0.09753,0.56564,0.05363,2.09181,0.04869,0.18593,0.05343
adaptive_probe_then_act,0.12,8,0.71875,0.15871,0.28125,0.15871,0.95312,0.04483,0.23557,0.02218,0.06250,0.06548,0.06250,0.04630,0.28125,0.15871,0.57193,0.10519,2.07042,0.06908,0.18830,0.04646
adaptive_probe_then_act,0.18,8,0.62500,0.15356,0.37500,0.15356,0.92188,0.04483,0.25192,0.02200,0.14062,0.08584,0.12500,0.09260,0.32812,0.13842,0.51562,0.09943,2.13040,0.08486,0.16858,0.02403
adaptive_probe_then_act,0.25,8,0.67188,0.06445,0.32812,0.06445,0.96875,0.04010,0.23073,0.02052,0.09375,0.07678,0.06250,0.04630,0.25000,0.08020,0.56244,0.03728,2.06149,0.04580,0.20517,0.03011
bayesian_fixture_belief,0.08,8,0.45312,0.13045,0.54688,0.13045,0.84375,0.06125,0.37049,0.03045,0.28125,0.10091,0.18750,0.09260,0.42188,0.15313,0.40982,0.09080,2.26363,0.09779,0.21012,0.03384
bayesian_fixture_belief,0.12,8,0.43750,0.11341,0.56250,0.11341,0.87500,0.04630,0.35495,0.02302,0.25000,0.08020,0.20312,0.07936,0.43750,0.11341,0.40331,0.07121,2.24238,0.05754,0.22479,0.04320
bayesian_fixture_belief,0.18,8,0.48438,0.09753,0.51562,0.09753,0.82812,0.06445,0.37826,0.03204,0.18750,0.09260,0.20312,0.11282,0.42188,0.07936,0.42202,0.04841,2.18798,0.06646,0.18750,0.02250
bayesian_fixture_belief,0.25,8,0.54688,0.10288,0.45312,0.10288,0.85938,0.05551,0.36272,0.02760,0.20312,0.06445,0.14062,0.05551,0.37500,0.10353,0.46106,0.06043,2.17176,0.06543,0.20356,0.02154
calibrated_prototype_system_id,0.08,8,0.53125,0.12890,0.46875,0.12890,0.95312,0.04483,0.27773,0.02174,0.15625,0.07678,0.14062,0.09753,0.26562,0.09753,0.49568,0.06897,2.13504,0.07749,0.18294,0.03386
calibrated_prototype_system_id,0.12,8,0.60938,0.09753,0.39062,0.09753,0.95312,0.04483,0.27773,0.02174,0.14062,0.09753,0.09375,0.06125,0.23438,0.05551,0.53766,0.05160,2.11576,0.08047,0.17339,0.02484
calibrated_prototype_system_id,0.18,8,0.64062,0.13449,0.35938,0.13449,0.92188,0.04483,0.29289,0.02174,0.15625,0.12890,0.04688,0.04483,0.28125,0.11103,0.53418,0.08517,2.12998,0.09296,0.17652,0.02764
calibrated_prototype_system_id,0.25,8,0.56250,0.13890,0.43750,0.13890,0.96875,0.04010,0.27016,0.01945,0.17188,0.07936,0.17188,0.11282,0.23438,0.13449,0.51583,0.09035,2.11154,0.07877,0.19560,0.04481
latent_fixture_inference_v5,0.08,8,0.26562,0.08584,0.73438,0.08584,0.71875,0.06125,0.31456,0.02963,0.51562,0.14224,0.35938,0.10797,0.51562,0.14958,0.26461,0.07444,2.46643,0.12694,0.18953,0.06216
latent_fixture_inference_v5,0.12,8,0.26562,0.07229,0.73438,0.07229,0.73438,0.03062,0.30725,0.01423,0.50000,0.08020,0.28125,0.08966,0.54688,0.11282,0.26327,0.05507,2.45848,0.06126,0.19459,0.05970
latent_fixture_inference_v5,0.18,8,0.26562,0.07229,0.73438,0.07229,0.70312,0.09187,0.32273,0.04387,0.39062,0.08584,0.34375,0.14457,0.54688,0.12195,0.25985,0.06203,2.37504,0.05649,0.25047,0.07304
latent_fixture_inference_v5,0.25,8,0.17188,0.06445,0.82812,0.06445,0.70312,0.09187,0.32316,0.04406,0.62500,0.11341,0.42188,0.15313,0.57812,0.09187,0.20880,0.04101,2.53142,0.08912,0.20821,0.06255
particle_filter_fixture,0.08,8,0.51562,0.12627,0.48438,0.12627,0.85938,0.08584,0.35031,0.04292,0.18750,0.10353,0.17188,0.07936,0.34375,0.07678,0.45769,0.06727,2.17969,0.08471,0.19791,0.04356
particle_filter_fixture,0.12,8,0.59375,0.07678,0.40625,0.07678,0.87500,0.06548,0.34250,0.03274,0.10938,0.07229,0.20312,0.07936,0.31250,0.06548,0.49704,0.04291,2.11573,0.04742,0.20364,0.02877
particle_filter_fixture,0.18,8,0.53125,0.07678,0.46875,0.07678,0.87500,0.04630,0.34250,0.02315,0.17188,0.04483,0.23438,0.08584,0.26562,0.08584,0.48322,0.04360,2.14189,0.05083,0.18868,0.01786
particle_filter_fixture,0.25,8,0.48438,0.09753,0.51562,0.09753,0.85938,0.08584,0.35031,0.04292,0.15625,0.07678,0.17188,0.11282,0.42188,0.07936,0.43091,0.06518,2.14738,0.05923,0.19803,0.03140
prototype_system_id,0.08,8,0.56250,0.09260,0.43750,0.09260,0.95312,0.04483,0.27672,0.02555,0.14062,0.09753,0.17188,0.07936,0.21875,0.06125,0.51933,0.05487,2.11386,0.07748,0.18346,0.01779
prototype_system_id,0.12,8,0.50000,0.12250,0.50000,0.12250,0.95312,0.04483,0.27672,0.02555,0.10938,0.03062,0.17188,0.04483,0.31250,0.17324,0.47281,0.08812,2.11076,0.04569,0.20218,0.01687
