method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_fixture_correct,ci95_fixture_correct,mean_parameter_error,ci95_parameter_error,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency,mean_energy,ci95_energy,mean_calibration_brier,ci95_calibration_brier
ensemble_uncertainty_planner,adhesive_tether_fixture,7,0.67143,0.05600,0.32857,0.05600,0.97143,0.03615,0.34403,0.01928,0.01429,0.02800,0.05714,0.05829,0.32857,0.05600,0.50148,0.03160,1.85245,0.02756,0.19777,0.03156
ensemble_uncertainty_planner,combined_fixture_stress,7,0.70000,0.09564,0.30000,0.09564,0.95714,0.03960,0.36333,0.02143,0.11429,0.09001,0.08571,0.06665,0.30000,0.09564,0.54307,0.06152,1.97864,0.08895,0.22416,0.04276
ensemble_uncertainty_planner,hidden_clamp_hinge,7,0.71429,0.09965,0.28571,0.09965,1.00000,0.00000,0.32218,0.00246,0.02857,0.03615,0.00000,0.00000,0.28571,0.09965,0.60550,0.06356,1.82332,0.04367,0.18441,0.03109
ensemble_uncertainty_planner,nominal_visible_fixture,7,0.78571,0.09965,0.21429,0.09965,1.00000,0.00000,0.32281,0.00385,0.00000,0.00000,0.00000,0.00000,0.21429,0.09965,0.61715,0.06370,1.65270,0.02622,0.18613,0.03281
ensemble_uncertainty_planner,slot_axis_shift,7,0.67143,0.15251,0.32857,0.15251,1.00000,0.00000,0.31846,0.00251,0.00000,0.00000,0.01429,0.02800,0.32857,0.15251,0.58444,0.09439,1.74285,0.04081,0.22093,0.05031
force_threshold_heuristic,adhesive_tether_fixture,7,0.37143,0.10224,0.62857,0.10224,0.54286,0.09426,0.60143,0.05184,0.31429,0.09965,0.27143,0.09287,0.62857,0.10224,0.31529,0.06281,2.12762,0.08427,0.12107,0.01782
force_threshold_heuristic,combined_fixture_stress,7,0.34286,0.08400,0.65714,0.08400,0.47143,0.07047,0.64071,0.03876,0.41429,0.11657,0.30000,0.09564,0.65714,0.08400,0.30393,0.05232,2.27234,0.09484,0.09740,0.02416
force_threshold_heuristic,hidden_clamp_hinge,7,0.04286,0.03960,0.95714,0.03960,0.05714,0.03960,0.86857,0.02178,0.65714,0.09426,0.50000,0.12097,0.95714,0.03960,0.10357,0.02348,2.43899,0.05549,0.02978,0.03763
force_threshold_heuristic,nominal_visible_fixture,7,0.34286,0.10351,0.65714,0.10351,0.47143,0.09287,0.64071,0.05108,0.40000,0.12097,0.32857,0.12626,0.65714,0.10351,0.29879,0.06579,2.04413,0.09327,0.09529,0.02911
force_threshold_heuristic,slot_axis_shift,7,0.32857,0.05600,0.67143,0.05600,0.44286,0.03960,0.65643,0.02178,0.40000,0.09564,0.34286,0.05829,0.67143,0.05600,0.33807,0.03580,2.10908,0.08066,0.10659,0.03564
latent_fixture_inference,adhesive_tether_fixture,7,0.90000,0.06049,0.10000,0.06049,0.97143,0.03615,0.12629,0.02060,0.02857,0.03615,0.01429,0.02800,0.10000,0.06049,0.66823,0.04117,1.80409,0.04098,0.09331,0.03874
latent_fixture_inference,combined_fixture_stress,7,0.67143,0.05600,0.32857,0.05600,0.67143,0.03615,0.29729,0.02060,0.21429,0.05112,0.17143,0.07047,0.32857,0.05600,0.52656,0.03271,2.05442,0.03077,0.06985,0.02358
latent_fixture_inference,hidden_clamp_hinge,7,0.65714,0.03960,0.34286,0.03960,0.64286,0.03960,0.31357,0.02257,0.21429,0.09001,0.20000,0.07408,0.34286,0.03960,0.53664,0.02960,1.97742,0.06801,0.05115,0.02524
latent_fixture_inference,nominal_visible_fixture,7,0.72857,0.07047,0.27143,0.07047,0.71429,0.06665,0.27286,0.03799,0.10000,0.07408,0.15714,0.08400,0.27143,0.07047,0.56786,0.05003,1.73995,0.05317,0.04942,0.02506
latent_fixture_inference,slot_axis_shift,7,0.70000,0.08554,0.30000,0.08554,0.72857,0.05600,0.26471,0.03192,0.15714,0.03960,0.04286,0.03960,0.30000,0.08554,0.60753,0.05374,1.84477,0.03763,0.07617,0.04504
oracle_fixture,adhesive_tether_fixture,7,0.92857,0.05600,0.07143,0.05600,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01429,0.02800,0.07143,0.05600,0.69514,0.03767,1.77467,0.02233,0.06929,0.04121
oracle_fixture,combined_fixture_stress,7,0.90000,0.09564,0.10000,0.09564,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02857,0.03615,0.10000,0.09564,0.71686,0.06431,1.83781,0.03177,0.09049,0.07040
oracle_fixture,hidden_clamp_hinge,7,0.88571,0.05112,0.11429,0.05112,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02857,0.03615,0.11429,0.05112,0.74914,0.03169,1.75304,0.02224,0.09787,0.04071
oracle_fixture,nominal_visible_fixture,7,0.92857,0.05600,0.07143,0.05600,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01429,0.02800,0.07143,0.05600,0.73800,0.04009,1.61040,0.02173,0.06666,0.04292
oracle_fixture,slot_axis_shift,7,0.95714,0.05829,0.04286,0.05829,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01429,0.02800,0.04286,0.05829,0.79343,0.03614,1.66970,0.01720,0.04384,0.05096
particle_filter_fixture,adhesive_tether_fixture,7,0.84286,0.05829,0.15714,0.05829,0.98571,0.02800,0.28714,0.01400,0.10000,0.06049,0.04286,0.03960,0.15714,0.05829,0.61500,0.03696,1.87272,0.03706,0.16156,0.01915
particle_filter_fixture,combined_fixture_stress,7,0.61429,0.10844,0.38571,0.10844,0.87143,0.05600,0.34429,0.02800,0.15714,0.05829,0.18571,0.13133,0.38571,0.10844,0.48986,0.07530,2.02726,0.06947,0.18465,0.02262
particle_filter_fixture,hidden_clamp_hinge,7,0.77143,0.07047,0.22857,0.07047,0.90000,0.08554,0.33000,0.04277,0.11429,0.10844,0.11429,0.07920,0.22857,0.07047,0.63329,0.05554,1.87359,0.09226,0.14968,0.02841
particle_filter_fixture,nominal_visible_fixture,7,0.81429,0.10844,0.18571,0.10844,1.00000,0.00000,0.28000,0.00000,0.08571,0.06665,0.05714,0.05829,0.18571,0.10844,0.63914,0.06498,1.70500,0.07412,0.17387,0.03395
particle_filter_fixture,slot_axis_shift,7,0.77143,0.08243,0.22857,0.08243,1.00000,0.00000,0.28000,0.00000,0.08571,0.06665,0.07143,0.05600,0.22857,0.08243,0.65029,0.05111,1.77980,0.07336,0.18003,0.02653
prototype_system_id,adhesive_tether_fixture,7,0.77143,0.09287,0.22857,0.09287,0.98571,0.02800,0.25814,0.01596,0.04286,0.03960,0.07143,0.03615,0.22857,0.09287,0.57361,0.05796,1.84721,0.04479,0.18343,0.04508
prototype_system_id,combined_fixture_stress,7,0.77143,0.08243,0.22857,0.08243,0.95714,0.03960,0.27443,0.02257,0.08571,0.05112,0.08571,0.05112,0.22857,0.08243,0.60464,0.05878,1.93709,0.05729,0.17593,0.02170
prototype_system_id,hidden_clamp_hinge,7,0.78571,0.15078,0.21429,0.15078,1.00000,0.00000,0.25000,0.00000,0.10000,0.04277,0.07143,0.03615,0.21429,0.15078,0.66214,0.09349,1.85349,0.03530,0.16665,0.04398
prototype_system_id,nominal_visible_fixture,7,0.78571,0.09001,0.21429,0.09001,1.00000,0.00000,0.25000,0.00000,0.07143,0.05600,0.05714,0.05829,0.21429,0.09001,0.62443,0.05763,1.70015,0.05041,0.17753,0.04362
prototype_system_id,slot_axis_shift,7,0.81429,0.12417,0.18571,0.12417,1.00000,0.00000,0.25000,0.00000,0.10000,0.07408,0.05714,0.05829,0.18571,0.12417,0.67986,0.07699,1.77945,0.06185,0.15872,0.06346
visible_only_policy,adhesive_tether_fixture,7,0.32857,0.07047,0.67143,0.07047,0.38571,0.07920,0.59157,0.05306,0.52857,0.08243,0.38571,0.06665,0.67143,0.07047,0.31763,0.04744,2.27680,0.06873,0.09640,0.03678
visible_only_policy,combined_fixture_stress,7,0.20000,0.08554,0.80000,0.08554,0.22857,0.11083,0.69686,0.07425,0.62857,0.05600,0.41429,0.07920,0.80000,0.08554,0.24260,0.06165,2.44380,0.05923,0.05470,0.03478
visible_only_policy,hidden_clamp_hinge,7,0.31429,0.09001,0.68571,0.09001,0.40000,0.08554,0.58200,0.05731,0.45714,0.09426,0.31429,0.07920,0.68571,0.09001,0.32516,0.06349,2.22144,0.08877,0.07341,0.02274
visible_only_policy,nominal_visible_fixture,7,0.45714,0.12729,0.54286,0.12729,0.62857,0.05600,0.42886,0.03752,0.30000,0.06049,0.20000,0.12097,0.54286,0.12729,0.41490,0.08442,1.93349,0.04489,0.12742,0.02865
visible_only_policy,slot_axis_shift,7,0.34286,0.11200,0.65714,0.11200,0.42857,0.14639,0.56286,0.09808,0.42857,0.09287,0.22857,0.10224,0.65714,0.11200,0.34643,0.07146,2.12615,0.05903,0.11486,0.07843
