split,reference,comparison,paired_success_diff,ci95_success_diff,paired_fixture_accuracy_diff,paired_parameter_error_reduction,paired_force_violation_reduction,paired_damage_reduction,paired_repeated_failure_reduction,paired_efficiency_diff,reference_better_seeds,seeds
adhesive_tether_fixture,latent_fixture_inference_v5,adaptive_probe_then_act,-0.05357,0.08261,0.00893,0.03478,-0.05357,-0.01786,-0.05357,-0.04152,1,8
adhesive_tether_fixture,latent_fixture_inference_v5,bayesian_fixture_belief,0.02678,0.10562,0.00000,0.09969,-0.00893,0.03571,0.02678,0.01586,3,8
adhesive_tether_fixture,latent_fixture_inference_v5,calibrated_prototype_system_id,-0.05357,0.09069,0.00893,0.03331,0.00893,-0.02679,-0.05357,-0.04167,1,8
adhesive_tether_fixture,latent_fixture_inference_v5,ensemble_uncertainty_planner,0.11607,0.08340,0.00893,0.16144,-0.02679,0.00000,0.11607,0.07734,6,8
adhesive_tether_fixture,latent_fixture_inference_v5,force_threshold_heuristic,0.36607,0.07215,0.41964,0.40929,0.25893,0.21429,0.36607,0.23896,8,8
adhesive_tether_fixture,latent_fixture_inference_v5,latent_fixture_inference,-0.12500,0.08261,0.00893,-0.05642,-0.06250,-0.02679,-0.12500,-0.09493,1,8
adhesive_tether_fixture,latent_fixture_inference_v5,oracle_fixture,-0.07143,0.07000,0.00000,-0.17151,-0.06250,-0.03571,-0.07143,-0.07215,1,8
adhesive_tether_fixture,latent_fixture_inference_v5,particle_filter_fixture,-0.01786,0.08261,0.00000,0.10849,0.00000,0.02679,-0.01786,-0.01094,3,8
adhesive_tether_fixture,latent_fixture_inference_v5,prototype_system_id,0.04464,0.09141,0.00893,0.08358,-0.02679,0.02679,0.04464,0.02425,3,8
adhesive_tether_fixture,latent_fixture_inference_v5,random_forest_probe_classifier,-0.02679,0.05879,0.00893,0.07673,0.00893,-0.00893,-0.02679,-0.02072,1,8
adhesive_tether_fixture,latent_fixture_inference_v5,robust_impedance_planner,-0.00893,0.09698,0.00893,0.16437,-0.03571,-0.03571,-0.00893,0.00013,2,8
adhesive_tether_fixture,latent_fixture_inference_v5,visible_only_policy,0.48214,0.10500,0.60715,0.41527,0.40178,0.31250,0.48214,0.27689,8,8
combined_fixture_stress,latent_fixture_inference_v5,adaptive_probe_then_act,-0.24107,0.11514,-0.17857,-0.05522,-0.30357,-0.17857,-0.24107,-0.20642,1,8
