method,stress_level,seeds,mean_success,ci95_success,mean_fixture_correct,ci95_fixture_correct,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency
ensemble_uncertainty_planner,0.00,7,0.55102,0.16653,0.97959,0.04000,0.14286,0.10583,0.14286,0.10583,0.44898,0.16653,0.45725,0.09715
ensemble_uncertainty_planner,0.20,7,0.44898,0.09522,0.91837,0.10328,0.24490,0.08000,0.12245,0.04000,0.55102,0.09522,0.38348,0.06205
ensemble_uncertainty_planner,0.40,7,0.55102,0.07303,0.89796,0.10066,0.30612,0.09522,0.20408,0.08326,0.44898,0.07303,0.44320,0.05028
ensemble_uncertainty_planner,0.60,7,0.57143,0.08641,0.89796,0.08000,0.36735,0.12000,0.28571,0.16166,0.42857,0.08641,0.44811,0.07128
ensemble_uncertainty_planner,0.80,7,0.44898,0.12858,0.91837,0.08327,0.24490,0.08000,0.22449,0.14787,0.55102,0.12858,0.38539,0.08377
ensemble_uncertainty_planner,1.00,7,0.36735,0.12000,0.87755,0.07303,0.51020,0.12000,0.40816,0.09522,0.63265,0.12000,0.30263,0.08863
latent_fixture_inference,0.00,7,0.63265,0.10328,0.67347,0.08000,0.14286,0.10583,0.16327,0.11314,0.36735,0.10328,0.51365,0.06739
latent_fixture_inference,0.20,7,0.51020,0.10328,0.53061,0.10067,0.30612,0.12858,0.30612,0.11314,0.48980,0.10328,0.42469,0.06229
latent_fixture_inference,0.40,7,0.61225,0.08000,0.63266,0.08327,0.20408,0.12000,0.16327,0.07303,0.38775,0.08000,0.49622,0.05286
latent_fixture_inference,0.60,7,0.42857,0.10583,0.46939,0.08000,0.38775,0.05164,0.20408,0.13466,0.57143,0.10583,0.37059,0.07222
latent_fixture_inference,0.80,7,0.48980,0.13466,0.48980,0.12000,0.36735,0.16000,0.26530,0.11314,0.51020,0.13466,0.41461,0.08777
latent_fixture_inference,1.00,7,0.46939,0.13267,0.48980,0.14787,0.44898,0.17739,0.26530,0.12858,0.53061,0.13267,0.40196,0.08850
oracle_fixture,0.00,7,0.81633,0.14606,1.00000,0.00000,0.00000,0.00000,0.04082,0.05164,0.18367,0.14606,0.66694,0.09293
oracle_fixture,0.20,7,0.89796,0.08000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10204,0.08000,0.71510,0.04678
oracle_fixture,0.40,7,0.83674,0.09522,1.00000,0.00000,0.00000,0.00000,0.02041,0.04000,0.16326,0.09522,0.67959,0.06101
oracle_fixture,0.60,7,0.83674,0.12858,1.00000,0.00000,0.00000,0.00000,0.02041,0.04000,0.16326,0.12858,0.67959,0.08288
oracle_fixture,0.80,7,0.71429,0.16166,1.00000,0.00000,0.00000,0.00000,0.08163,0.08327,0.28571,0.16166,0.60122,0.10183
oracle_fixture,1.00,7,0.83673,0.11314,1.00000,0.00000,0.02041,0.04000,0.08163,0.05657,0.16327,0.11314,0.67959,0.06576
particle_filter_fixture,0.00,7,0.83674,0.09522,0.95918,0.05164,0.10204,0.10066,0.04082,0.05164,0.16326,0.09522,0.64465,0.05660
particle_filter_fixture,0.20,7,0.69388,0.11314,0.85714,0.06110,0.12245,0.07303,0.06123,0.05657,0.30612,0.11314,0.53874,0.07074
particle_filter_fixture,0.40,7,0.67347,0.11776,0.87755,0.04000,0.16327,0.11314,0.08163,0.08327,0.32653,0.11776,0.52955,0.07342
particle_filter_fixture,0.60,7,0.44898,0.15492,0.87755,0.07303,0.24490,0.08000,0.14286,0.08641,0.55102,0.15492,0.39771,0.09476
particle_filter_fixture,0.80,7,0.67347,0.16971,0.91837,0.05657,0.16327,0.07303,0.16327,0.04000,0.32653,0.16971,0.53404,0.11501
particle_filter_fixture,1.00,7,0.46939,0.11776,0.75510,0.13266,0.30612,0.16653,0.28571,0.08641,0.53061,0.11776,0.39690,0.08295
prototype_system_id,0.00,7,0.63265,0.18184,0.97959,0.04000,0.10204,0.08000,0.06123,0.05657,0.36735,0.18184,0.52449,0.11182
prototype_system_id,0.20,7,0.65306,0.10328,0.91837,0.10328,0.12245,0.11314,0.12245,0.12858,0.34694,0.10328,0.53125,0.07166
prototype_system_id,0.40,7,0.71428,0.13662,0.91837,0.08327,0.16327,0.11314,0.10204,0.08000,0.28572,0.13662,0.56924,0.08702
prototype_system_id,0.60,7,0.59184,0.14236,0.89796,0.08000,0.22449,0.10328,0.18367,0.10066,0.40816,0.14236,0.49216,0.09308
prototype_system_id,0.80,7,0.67347,0.18037,0.91837,0.08327,0.22449,0.10328,0.16326,0.12858,0.32653,0.18037,0.54880,0.11785
prototype_system_id,1.00,7,0.69388,0.17739,0.87755,0.09522,0.26531,0.18762,0.14286,0.16166,0.30612,0.17739,0.56153,0.10845
